,BlockIDs,CodaViolation,Condition,Correct,EndTime,HIT,ItemID,Iteration,OnsetViolation,OptionOrder,OptionResources,OptionTexts,PageID,PageResources,PageText,Permutation,SelectedID,SelectedPosition,SelectedText,StartTime,TrialNumber,UniqueID,Version,Vowel,WorkerID,type,ReactionTime
10,[u'340'],False,GG,[None],1424725867108,3ULIZ0H1VA5SWO1L6NNGDDGYXGS15G,15,1,False,"[u'184', u'185']","[[], []]","[u'snock', u'felmth']",186,[],"Based on how they sound, which of these two words is more likely to be a word of English?",0,[u'184'],[0],[u'snock'],1424725864974,10,A2LD8A4LBTYELX:3P4RDNWND56DQDAYTZHIV6B8B4VIJ1,1,o,A2LD8A4LBTYELX,"[u'test', u'filler']",2134
11,[u'340'],,"[u'BB', True, True]",[None],1424725868219,3ULIZ0H1VA5SWO1L6NNGDDGYXGS15G,,1,,"[u'330', u'329']","[[], []]","[u'lunt', u'psatr']",328,[],"Based on how they sound, which of these two words is more likely to be a word of English?",0,[u'330'],[0],[u'lunt'],1424725867111,11,A2LD8A4LBTYELX:3P4RDNWND56DQDAYTZHIV6B8B4VIJ1,1,,A2LD8A4LBTYELX,"[u'catch-good', u'catch-bad']",1108
12,[u'340'],True,GB,[None],1424725874852,3ULIZ0H1VA5SWO1L6NNGDDGYXGS15G,0,1,False,"[u'8', u'7']","[[], []]","[u'glagd', u'plavb']",9,[],"Based on how they sound, which of these two words is more likely to be a word of English?",0,[u'7'],[1],[u'plavb'],1424725868222,12,A2LD8A4LBTYELX:3P4RDNWND56DQDAYTZHIV6B8B4VIJ1,1,a,A2LD8A4LBTYELX,"[u'filler', u'test']",6630
13,[u'340'],,"[u'BG', True, False]",[None],1424725875850,3ULIZ0H1VA5SWO1L6NNGDDGYXGS15G,,1,,"[u'317', u'318']","[[], []]","[u'krlisg', u'felp']",316,[],"Based on how they sound, which of these two words is more likely to be a word of English?",0,[u'318'],[1],[u'felp'],1424725874854,13,A2LD8A4LBTYELX:3P4RDNWND56DQDAYTZHIV6B8B4VIJ1,1,,A2LD8A4LBTYELX,"[u'catch-bad', u'catch-good']",996
14,[u'340'],False,GG,[None],1424725876891,3ULIZ0H1VA5SWO1L6NNGDDGYXGS15G,7,1,False,"[u'88', u'89']","[[], []]","[u'brizz', u'gralfth']",90,[],"Based on how they sound, which of these two words is more likely to be a word of English?",0,[u'88'],[0],[u'brizz'],1424725875852,14,A2LD8A4LBTYELX:3P4RDNWND56DQDAYTZHIV6B8B4VIJ1,1,i,A2LD8A4LBTYELX,"[u'test', u'filler']",1039
15,[u'340'],True,GB,[None],1424725877787,3ULIZ0H1VA5SWO1L6NNGDDGYXGS15G,16,1,False,"[u'199', u'200']","[[], []]","[u'smenb', u'skuck']",201,[],"Based on how they sound, which of these two words is more likely to be a word of English?",0,[u'200'],[1],[u'skuck'],1424725876894,15,A2LD8A4LBTYELX:3P4RDNWND56DQDAYTZHIV6B8B4VIJ1,1,e,A2LD8A4LBTYELX,"[u'test', u'filler']",893
16,[u'340'],True,GB,[None],1424725879858,3ULIZ0H1VA5SWO1L6NNGDDGYXGS15G,20,1,False,"[u'247', u'248']","[[], []]","[u'swukp', u'threlt']",249,[],"Based on how they sound, which of these two words is more likely to be a word of English?",0,[u'248'],[1],[u'threlt'],1424725877789,16,A2LD8A4LBTYELX:3P4RDNWND56DQDAYTZHIV6B8B4VIJ1,1,u,A2LD8A4LBTYELX,"[u'test', u'filler']",2069
17,[u'340'],True,BB,[None],1424725881292,3ULIZ0H1VA5SWO1L6NNGDDGYXGS15G,22,1,True,"[u'277', u'278']","[[], []]","[u'lridb', u'sklime']",279,[],"Based on how they sound, which of these two words is more likely to be a word of English?",0,[u'278'],[1],[u'sklime'],1424725879860,17,A2LD8A4LBTYELX:3P4RDNWND56DQDAYTZHIV6B8B4VIJ1,1,i,A2LD8A4LBTYELX,"[u'test', u'filler']",1432
18,[u'340'],False,BG,[None],1424725883170,3ULIZ0H1VA5SWO1L6NNGDDGYXGS15G,5,1,True,"[u'70', u'71']","[[], []]","[u'zgoom', u'shesp']",72,[],"Based on how they sound, which of these two words is more likely to be a word of English?",0,[u'71'],[1],[u'shesp'],1424725881295,18,A2LD8A4LBTYELX:3P4RDNWND56DQDAYTZHIV6B8B4VIJ1,1,oo,A2LD8A4LBTYELX,"[u'test', u'filler']",1875
19,[u'340'],False,BG,[None],1424725885130,3ULIZ0H1VA5SWO1L6NNGDDGYXGS15G,1,1,True,"[u'22', u'23']","[[], []]","[u'dlep', u'slils']",24,[],"Based on how they sound, which of these two words is more likely to be a word of English?",0,[u'23'],[1],[u'slils'],1424725883173,19,A2LD8A4LBTYELX:3P4RDNWND56DQDAYTZHIV6B8B4VIJ1,1,e,A2LD8A4LBTYELX,"[u'test', u'filler']",1957
20,[u'340'],True,GB,[None],1424725886859,3ULIZ0H1VA5SWO1L6NNGDDGYXGS15G,12,1,False,"[u'152', u'151']","[[], []]","[u'gwald', u'krathp']",153,[],"Based on how they sound, which of these two words is more likely to be a word of English?",0,[u'152'],[0],[u'gwald'],1424725885132,20,A2LD8A4LBTYELX:3P4RDNWND56DQDAYTZHIV6B8B4VIJ1,1,a,A2LD8A4LBTYELX,"[u'filler', u'test']",1727
21,[u'340'],True,BB,[None],1424725888011,3ULIZ0H1VA5SWO1L6NNGDDGYXGS15G,2,1,True,"[u'38', u'37']","[[], []]","[u'brur', u'zbofk']",39,[],"Based on how they sound, which of these two words is more likely to be a word of English?",0,[u'38'],[0],[u'brur'],1424725886862,21,A2LD8A4LBTYELX:3P4RDNWND56DQDAYTZHIV6B8B4VIJ1,1,o,A2LD8A4LBTYELX,"[u'filler', u'test']",1149
22,[u'340'],True,BB,[None],1424725890475,3ULIZ0H1VA5SWO1L6NNGDDGYXGS15G,14,1,True,"[u'181', u'182']","[[], []]","[u'znitp', u'skralk']",183,[],"Based on how they sound, which of these two words is more likely to be a word of English?",0,[u'182'],[1],[u'skralk'],1424725888013,22,A2LD8A4LBTYELX:3P4RDNWND56DQDAYTZHIV6B8B4VIJ1,1,i,A2LD8A4LBTYELX,"[u'test', u'filler']",2462
23,[u'340'],False,GG,[None],1424725891803,3ULIZ0H1VA5SWO1L6NNGDDGYXGS15G,23,1,False,"[u'281', u'280']","[[], []]","[u'dwoond', u'strool']",282,[],"Based on how they sound, which of these two words is more likely to be a word of English?",0,[u'280'],[1],[u'strool'],1424725890478,23,A2LD8A4LBTYELX:3P4RDNWND56DQDAYTZHIV6B8B4VIJ1,1,oo,A2LD8A4LBTYELX,"[u'filler', u'test']",1325
24,[u'340'],False,GG,[None],1424725892930,3ULIZ0H1VA5SWO1L6NNGDDGYXGS15G,3,1,False,"[u'40', u'41']","[[], []]","[u'glid', u'skoths']",42,[],"Based on how they sound, which of these two words is more likely to be a word of English?",0,[u'40'],[0],[u'glid'],1424725891806,24,A2LD8A4LBTYELX:3P4RDNWND56DQDAYTZHIV6B8B4VIJ1,1,i,A2LD8A4LBTYELX,"[u'test', u'filler']",1124
25,[u'340'],True,GB,[None],1424725894482,3ULIZ0H1VA5SWO1L6NNGDDGYXGS15G,4,1,False,"[u'55', u'56']","[[], []]","[u'prumth', u'spelsh']",57,[],"Based on how they sound, which of these two words is more likely to be a word of English?",0,[u'56'],[1],[u'spelsh'],1424725892932,25,A2LD8A4LBTYELX:3P4RDNWND56DQDAYTZHIV6B8B4VIJ1,1,u,A2LD8A4LBTYELX,"[u'test', u'filler']",1550
26,[u'340'],,"[u'GG', False, False]",[None],1424725895603,3ULIZ0H1VA5SWO1L6NNGDDGYXGS15G,,1,,"[u'301', u'302']","[[], []]","[u'tmozb', u'velk']",303,[],"Based on how they sound, which of these two words is more likely to be a word of English?",0,[u'302'],[1],[u'velk'],1424725894483,26,A2LD8A4LBTYELX:3P4RDNWND56DQDAYTZHIV6B8B4VIJ1,1,,A2LD8A4LBTYELX,"[u'catch-bad', u'catch-good']",1120
27,[u'340'],False,GG,[None],1424725897179,3ULIZ0H1VA5SWO1L6NNGDDGYXGS15G,11,1,False,"[u'137', u'136']","[[], []]","[u'gwempt', u'stoob']",138,[],"Based on how they sound, which of these two words is more likely to be a word of English?",0,[u'136'],[1],[u'stoob'],1424725895606,27,A2LD8A4LBTYELX:3P4RDNWND56DQDAYTZHIV6B8B4VIJ1,1,oo,A2LD8A4LBTYELX,"[u'filler', u'test']",1573
28,[u'340'],False,BG,[None],1424725898435,3ULIZ0H1VA5SWO1L6NNGDDGYXGS15G,21,1,True,"[u'263', u'262']","[[], []]","[u'spup', u'thmot']",264,[],"Based on how they sound, which of these two words is more likely to be a word of English?",0,[u'263'],[0],[u'spup'],1424725897182,28,A2LD8A4LBTYELX:3P4RDNWND56DQDAYTZHIV6B8B4VIJ1,1,o,A2LD8A4LBTYELX,"[u'filler', u'test']",1253
29,[u'340'],,"[u'GB', False, True]",[None],1424725899306,3ULIZ0H1VA5SWO1L6NNGDDGYXGS15G,,1,,"[u'306', u'305']","[[], []]","[u'slan', u'lbifth']",304,[],"Based on how they sound, which of these two words is more likely to be a word of English?",0,[u'306'],[0],[u'slan'],1424725898437,29,A2LD8A4LBTYELX:3P4RDNWND56DQDAYTZHIV6B8B4VIJ1,1,,A2LD8A4LBTYELX,"[u'catch-good', u'catch-bad']",869
30,[u'474'],,,[None],1424725904312,3ULIZ0H1VA5SWO1L6NNGDDGYXGS15G,,1,,"[u'341', u'342', u'343', u'344', u'345', u'346', u'347', u'348', u'349', u'350', u'351', u'352', u'353', u'354', u'355', u'356', u'357', u'358', u'359', u'360', u'361', u'362', u'363', u'364', u'365', u'366', u'367', u'368', u'369', u'370', u'371', u'372', u'373', u'374', u'375', u'376', u'377', u'378', u'379', u'380', u'381', u'382', u'383', u'384', u'385', u'386', u'387', u'388', u'389', u'390', u'391', u'392', u'393', u'394', u'395', u'396', u'397', u'398', u'399', u'400', u'401', u'402', u'403', u'404', u'405', u'406', u'407', u'408', u'409', u'410', u'411', u'412', u'413', u'414', u'415', u'416', u'417', u'418', u'419', u'420', u'421', u'422', u'423', u'424', u'425', u'426', u'427', u'428', u'429', u'430', u'431', u'432', u'433', u'434', u'435', u'436', u'437', u'438', u'439', u'440', u'441', u'442', u'443', u'444', u'445', u'446', u'447', u'448', u'449', u'450', u'451', u'452', u'453', u'454', u'455', u'456', u'457', u'458', u'459', u'460']","[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116, 117, 118, 119]",461,[],How old are you?,0,[u'369'],[28],[28],1424725899338,30,A2LD8A4LBTYELX:3P4RDNWND56DQDAYTZHIV6B8B4VIJ1,1,,A2LD8A4LBTYELX,,4974
31,[u'474'],,,[None],1424725909189,3ULIZ0H1VA5SWO1L6NNGDDGYXGS15G,,1,,[u'466'],[[]],[u''],467,[],What is your native language?,0,[u'466'],[0],[u'English'],1424725904319,31,A2LD8A4LBTYELX:3P4RDNWND56DQDAYTZHIV6B8B4VIJ1,1,,A2LD8A4LBTYELX,,4870
32,[u'474'],,,[None],1424725923866,3ULIZ0H1VA5SWO1L6NNGDDGYXGS15G,,1,,[u'472'],[[]],[u''],473,[],"What information or strategies did you use to choose words in the
experimental questions?",0,[u'472'],[0],[u'one pair looked like it had no filler'],1424725909192,32,A2LD8A4LBTYELX:3P4RDNWND56DQDAYTZHIV6B8B4VIJ1,1,,A2LD8A4LBTYELX,,14674
33,[u'474'],,,[None],1424725927471,3ULIZ0H1VA5SWO1L6NNGDDGYXGS15G,,1,,[u'470'],[[]],[u''],471,[],Where do people typically think you're from?,0,[u'470'],[0],[u'America'],1424725923869,33,A2LD8A4LBTYELX:3P4RDNWND56DQDAYTZHIV6B8B4VIJ1,1,,A2LD8A4LBTYELX,,3602
34,[u'474'],,,[None],1424725930311,3ULIZ0H1VA5SWO1L6NNGDDGYXGS15G,,1,,[u'468'],[[]],[u''],469,[],What language do you speak at home?,0,[u'468'],[0],[u'English'],1424725927474,34,A2LD8A4LBTYELX:3P4RDNWND56DQDAYTZHIV6B8B4VIJ1,1,,A2LD8A4LBTYELX,,2837
35,[u'474'],,,[None],1424725932311,3ULIZ0H1VA5SWO1L6NNGDDGYXGS15G,,1,,"[u'462', u'464', u'463']","[[], [], []]","[u'male', u'other', u'female']",465,[],What is your sex?,0,[u'463'],[2],[u'female'],1424725930313,35,A2LD8A4LBTYELX:3P4RDNWND56DQDAYTZHIV6B8B4VIJ1,1,,A2LD8A4LBTYELX,,1998
36,[u'476'],,,,1424725933449,3ULIZ0H1VA5SWO1L6NNGDDGYXGS15G,,1,,,,,475,[],Thank you for participating in this experiment!,0,,,,1424725932313,36,A2LD8A4LBTYELX:3P4RDNWND56DQDAYTZHIV6B8B4VIJ1,1,,A2LD8A4LBTYELX,,1136
