,PageID,SelectedText,WorkerID
664,473,"[u'Spoke them out loud, picked the one that sounded more like a word that would be used in English']",A1JXSNKXAXT9OU
696,469,[u'English'],A1N4AZ1QXPOPXH
697,467,[u'English'],A1N4AZ1QXPOPXH
698,473,[u'Just initial reaction.'],A1N4AZ1QXPOPXH
699,471,[u'USA'],A1N4AZ1QXPOPXH
733,469,[u'English'],A1N783M0TDDHQA
734,467,[u'English'],A1N783M0TDDHQA
737,473,"[u""I don't know. Some combinations of letters struck me as foreign. I looked for combinations of letters that seemed English to me.""]",A1N783M0TDDHQA
738,471,[u'America'],A1N783M0TDDHQA
770,467,[u'english'],A1NITMHYG5YL3H
771,471,[u'United States'],A1NITMHYG5YL3H
773,473,[u'What sounded most like another word in English.'],A1NITMHYG5YL3H
774,469,[u'English'],A1NITMHYG5YL3H
807,467,[u'English'],A1OYZYZY9KKACR
809,473,[u'I just sounded the words out to determine whether they sounded English.'],A1OYZYZY9KKACR
810,471,[u'USA'],A1OYZYZY9KKACR
812,469,[u'English'],A1OYZYZY9KKACR
845,467,[u'English'],A1Q4PWSHDWPH1Q
847,471,[u'USA'],A1Q4PWSHDWPH1Q
848,469,[u'English'],A1Q4PWSHDWPH1Q
849,473,[u'I read them aloud and considered which word sounded closer to an English word.'],A1Q4PWSHDWPH1Q
918,473,[u'ones that look more pronouceable'],A1T56P6L5730HG
919,467,[u'english'],A1T56P6L5730HG
920,469,[u'english'],A1T56P6L5730HG
923,471,[u'america'],A1T56P6L5730HG
955,467,[u'english'],A1UVHG21KMQ9C9
957,473,[u'gut feeling'],A1UVHG21KMQ9C9
958,469,[u'English'],A1UVHG21KMQ9C9
959,471,[u'America'],A1UVHG21KMQ9C9
1181,469,[u'english'],A21XD6CWE1JNMQ
1182,473,[u'the way they flowed when i spoke them'],A21XD6CWE1JNMQ
1183,467,[u'english'],A21XD6CWE1JNMQ
1184,471,[u'America'],A21XD6CWE1JNMQ
1218,469,[u'english'],A23DPGTXU8VUG2
1219,473,[u'seemed english'],A23DPGTXU8VUG2
1220,471,[u'america'],A23DPGTXU8VUG2
1222,467,[u'English'],A23DPGTXU8VUG2
1254,473,"[u""if the words were similar to words I was already familiar with or followed patterns that I've seen in English words before""]",A26T6O5EFR54A9
1256,469,[u'English'],A26T6O5EFR54A9
1257,471,[u'Midwest'],A26T6O5EFR54A9
1258,467,[u'English'],A26T6O5EFR54A9
1293,469,[u'English'],A27BKFN6UB1LDP
1294,467,[u'English'],A27BKFN6UB1LDP
1295,471,[u'USA'],A27BKFN6UB1LDP
1296,473,[u'I compared them to english words'],A27BKFN6UB1LDP
1328,467,[u'English'],A27WQKJ0EAA6SK
1329,471,[u'Mexico'],A27WQKJ0EAA6SK
1331,469,[u'English'],A27WQKJ0EAA6SK
1332,473,[u'First two letter that are typically together in english'],A27WQKJ0EAA6SK
1366,467,[u'English'],A29YR43EA2W0VR
1367,471,[u'USA'],A29YR43EA2W0VR
1368,473,[u'I just pronounced the words how I thought they would be said and chose the one that sounded better to my ear.'],A29YR43EA2W0VR
1370,469,[u'English'],A29YR43EA2W0VR
1402,471,[u'Colorado '],A2C7VUFGB8WGCG
1404,467,[u'English'],A2C7VUFGB8WGCG
1406,473,"[u'Vowel placement, and unusual consonent groupings']",A2C7VUFGB8WGCG
1407,469,[u'English'],A2C7VUFGB8WGCG
1439,467,[u'English'],A2CU75UPXCS8J6
1440,469,[u'English'],A2CU75UPXCS8J6
1441,473,[u'pronouncability'],A2CU75UPXCS8J6
1443,471,[u'America'],A2CU75UPXCS8J6
1476,467,[u'English'],A2EN5NPUSZ4N09
1479,473,[u'The sound.'],A2EN5NPUSZ4N09
1480,471,[u'US'],A2EN5NPUSZ4N09
1481,469,[u'English'],A2EN5NPUSZ4N09
1513,469,[u'English'],A2G7N0X0PNX0EE
1514,471,[u'China'],A2G7N0X0PNX0EE
1515,467,[u'English'],A2G7N0X0PNX0EE
1517,473,"[u'If the word sounded or looked similar to known English words, I would choose those words.']",A2G7N0X0PNX0EE
1588,473,"[u'If they had similar sounds to words that I know and if they had letters that made up sounds that made sense like bl, or th, or sh']",A2LVAD3U0MFOIM
1590,467,[u'English'],A2LVAD3U0MFOIM
1591,471,[u'Midwest'],A2LVAD3U0MFOIM
1592,469,[u'English'],A2LVAD3U0MFOIM
1625,473,[u'If the pronunciation sounded natural '],A2OMWZZ5IHPJUD
1626,469,[u'English'],A2OMWZZ5IHPJUD
1627,471,[u'Baltimore'],A2OMWZZ5IHPJUD
1628,467,[u'English'],A2OMWZZ5IHPJUD
1661,467,[u'English'],A2OS3NGWKOM69E
1662,469,[u'English'],A2OS3NGWKOM69E
1665,473,[u'I just picked the one that sounded the most like an English word to me after saying it out loud. '],A2OS3NGWKOM69E
1666,471,[u'Chicago/Illinois/America'],A2OS3NGWKOM69E
1698,471,[u'America'],A2R9VWNAOREXQ7
1699,469,[u'English'],A2R9VWNAOREXQ7
1700,467,[u'English'],A2R9VWNAOREXQ7
1703,473,"[u""Those that sounded the most like they would be an English word. Some letter combinations just don't go together, or don't sound nature. I picked the ones that sound the most natural.""]",A2R9VWNAOREXQ7
1735,471,[u'USA'],A2RV5V4TL2FDJI
1736,467,[u'English'],A2RV5V4TL2FDJI
1738,473,[u'They just seemed more normal to say'],A2RV5V4TL2FDJI
1739,469,[u'English'],A2RV5V4TL2FDJI
1773,467,[u'English'],A2S80WYXEUZ9NX
1774,473,[u'I noticed I tended to vote against the words that had abnormal spellings in terms of normal english words...ending in b or kh or similar'],A2S80WYXEUZ9NX
1775,469,[u'English'],A2S80WYXEUZ9NX
1777,471,"[u'Chicago, IL']",A2S80WYXEUZ9NX
1810,473,"[u'Tried to actually pronounce the words, the one that gave me the least amount of difficulty was the one I chose.']",A2STG331R3P3FK
1811,467,[u'English'],A2STG331R3P3FK
1812,469,[u'English'],A2STG331R3P3FK
1814,471,[u'US'],A2STG331R3P3FK
1847,469,[u'English'],A2SYRFPPV9WDEG
1848,473,[u'intuition'],A2SYRFPPV9WDEG
1849,467,[u'English'],A2SYRFPPV9WDEG
1851,471,[u'USA'],A2SYRFPPV9WDEG
1883,467,[u'English'],A2TG7EEQ2XG2IK
1884,469,[u'English'],A2TG7EEQ2XG2IK
1885,471,[u'USA'],A2TG7EEQ2XG2IK
1886,473,[u'Just picked the ones that sounded closest to words I hear everyday.'],A2TG7EEQ2XG2IK
1920,467,[u'English'],A2ZZT874YBX28H
1921,473,[u'used the first letter and worked with the rest'],A2ZZT874YBX28H
1922,469,[u'English'],A2ZZT874YBX28H
1923,471,[u'midwest'],A2ZZT874YBX28H
1957,473,[u'I looked for words most similar to actual words in english.'],A30AFC17LLJFV6
1959,469,[u'English'],A30AFC17LLJFV6
1961,467,[u'English'],A30AFC17LLJFV6
1962,471,[u'America'],A30AFC17LLJFV6
2031,473,[u'whether it looked like a word that is in our language'],A34YD9P7KI4RF
2033,469,[u'English'],A34YD9P7KI4RF
2034,471,[u'USA'],A34YD9P7KI4RF
2036,467,,A34YD9P7KI4RF
2105,469,[u'English'],A382OV019QLW6H
2106,467,[u'English'],A382OV019QLW6H
2107,471,[u'America'],A382OV019QLW6H
2109,473,[u'what sounded more natural and had the least offensive strings of consonants'],A382OV019QLW6H
2179,473,[u'I tried to pronounce the word based on English spelling patterns and pronunciation and chose the one that fit better'],A3BPTARPGHYU1N
2180,467,[u'English'],A3BPTARPGHYU1N
2181,469,[u'English'],A3BPTARPGHYU1N
2182,471,[u'USA'],A3BPTARPGHYU1N
2216,471,[u'The North West states'],A3DDFEQ9K0H93C
2218,467,[u'English'],A3DDFEQ9K0H93C
2219,473,[u'I said the words and whichever felt more natural is the one I chose.'],A3DDFEQ9K0H93C
2220,469,[u'Englsih'],A3DDFEQ9K0H93C
2253,469,[u'English'],A3EDFNG7NA7V0I
2254,471,[u'United States'],A3EDFNG7NA7V0I
2256,467,[u'English'],A3EDFNG7NA7V0I
2257,473,[u'The ones that sounded like they would have a real definition.'],A3EDFNG7NA7V0I
2291,471,[u'United States'],A3GBJV9JMT1I2I
2292,473,"[u'Sounding them out to figure out which sounded more like the English Language. Sometimes, along with the sound, the visual of the word helps me choose.']",A3GBJV9JMT1I2I
2294,467,[u'English'],A3GBJV9JMT1I2I
2295,469,[u'English/ American Sign Language'],A3GBJV9JMT1I2I
2328,471,[u'United States'],A3I8JTW0DM3KM8
2330,467,[u'English'],A3I8JTW0DM3KM8
2331,469,[u'English'],A3I8JTW0DM3KM8
2332,473,[u'My knowledge of the English language'],A3I8JTW0DM3KM8
2364,471,[u'United States'],A3KGAO7P31X2CB
2366,469,[u'English'],A3KGAO7P31X2CB
2367,467,[u'English'],A3KGAO7P31X2CB
2369,473,[u'A normal consonent to vowel ratio'],A3KGAO7P31X2CB
2402,473,[u'I said the words out loud and favored those that sounded more Anglo-Saxon or Germanic.'],A3KSOAD08L2DGK
2403,469,[u'English'],A3KSOAD08L2DGK
2404,471,[u'Southern United States.'],A3KSOAD08L2DGK
2406,467,[u'English'],A3KSOAD08L2DGK
2438,469,[u'English'],A3MM9HW5JJF8WJ
2439,471,[u'Midwestern US'],A3MM9HW5JJF8WJ
2440,473,[u'phonics & blending'],A3MM9HW5JJF8WJ
2442,467,[u'English'],A3MM9HW5JJF8WJ
2477,467,[u'English'],A3OXN4N4X861SC
2478,473,[u'I just went with my gut feeling as to whether the words sounded legitimate.'],A3OXN4N4X861SC
2479,471,[u'United States'],A3OXN4N4X861SC
2480,469,[u'English'],A3OXN4N4X861SC
2512,467,[u'English'],A3OXZL8VVD0UUH
2514,471,[u'United States'],A3OXZL8VVD0UUH
2515,469,[u'English'],A3OXZL8VVD0UUH
2516,473,[u'Which word was easier for me to say out loud.'],A3OXZL8VVD0UUH
2550,469,[u'English'],A3Q6YRWUMALT6D
2551,471,[u'United States'],A3Q6YRWUMALT6D
2553,467,[u'English'],A3Q6YRWUMALT6D
2554,473,[u'Whether I could pronounce the word'],A3Q6YRWUMALT6D
2586,469,[u'english'],A3RXVRZ0M163C0
2587,473,[u'I just sounded it out and thought about whether the words would sounded similar to english words'],A3RXVRZ0M163C0
2588,471,[u'usa'],A3RXVRZ0M163C0
2590,467,[u'english'],A3RXVRZ0M163C0
2623,469,[u'English'],A7RAVFS10BUZ1
2625,471,"[u'Bradenton, Florida United States of America']",A7RAVFS10BUZ1
2626,467,[u'English'],A7RAVFS10BUZ1
2628,473,"[u'Vowel and consonant makeup, plus the beginning and ending letter pairs. If it seemed vowel consonant odd, I chose the better of the two. ']",A7RAVFS10BUZ1
2660,469,[u'English'],A7RAVFS10BUZ1
2662,471,"[u'Bradenton, Florida United States of America']",A7RAVFS10BUZ1
2663,467,[u'English'],A7RAVFS10BUZ1
2665,473,"[u'Vowel and consonant makeup, plus the beginning and ending letter pairs. If it seemed vowel consonant odd, I chose the better of the two. ']",A7RAVFS10BUZ1
2698,467,[u'English '],A89UB4E3GSYXI
2700,469,[u'English'],A89UB4E3GSYXI
2701,473,[u'chose words that sounded most like english'],A89UB4E3GSYXI
2703,471,[u'US '],A89UB4E3GSYXI
2735,471,[u'North America'],A9E880JOJWCOI
2736,469,[u'English'],A9E880JOJWCOI
2738,473,"[u""just went with my first reaction, some with the letters, did not pick words with many z's and q's""]",A9E880JOJWCOI
2740,467,[u'English'],A9E880JOJWCOI
2772,471,[u'Asia'],A9KLWB70I12U7
2773,467,[u'Vietnamese'],A9KLWB70I12U7
2774,473,[u'I just chose the word closest to English'],A9KLWB70I12U7
2777,469,[u'English'],A9KLWB70I12U7
2810,473,[u'Instinct'],A9L9G563HS81X
2811,467,[u'English'],A9L9G563HS81X
2813,471,[u'Florida'],A9L9G563HS81X
2814,469,[u'English'],A9L9G563HS81X
2847,473,[u'Which words sounded more natural'],AAKL8L5X64LWD
2849,469,[u'English'],AAKL8L5X64LWD
2850,471,[u'USA'],AAKL8L5X64LWD
2851,467,[u'English'],AAKL8L5X64LWD
2921,469,[u'English'],ACNID00UIEL1T
2922,473,[u'I read the words and went with my gut feellings'],ACNID00UIEL1T
2923,471,[u'Texas'],ACNID00UIEL1T
2925,467,[u'English'],ACNID00UIEL1T
2958,469,[u'English'],ACNID00UIEL1T
2959,473,[u'I read the words and went with my gut feellings'],ACNID00UIEL1T
2960,471,[u'Texas'],ACNID00UIEL1T
2962,467,[u'English'],ACNID00UIEL1T
3032,473,[u'i picked words that sounded closer to english'],ADVZAZ12Z8N9J
3035,469,[u'ENGLISH'],ADVZAZ12Z8N9J
3036,471,[u'UNITED STATES'],ADVZAZ12Z8N9J
3037,467,[u'ENGLISH'],ADVZAZ12Z8N9J
3070,471,[u'south usa'],AELOYBHVZFDW9
3072,473,[u'ease of pronouncing'],AELOYBHVZFDW9
3073,467,[u'english'],AELOYBHVZFDW9
3074,469,[u'english'],AELOYBHVZFDW9
3106,471,[u'North Carolina'],AFN5VMMGYPF1I
3108,469,[u'english'],AFN5VMMGYPF1I
3109,473,[u'whatever I could say better'],AFN5VMMGYPF1I
3110,467,[u'english'],AFN5VMMGYPF1I
3145,467,[u'english'],AGFWV1U4CJXP5
3146,471,[u'USA'],AGFWV1U4CJXP5
3147,469,[u'english'],AGFWV1U4CJXP5
3148,473,[u'words that sounded close to english words'],AGFWV1U4CJXP5
3217,471,[u'California'],AIDXAWCTE2TBR
3219,469,[u'English'],AIDXAWCTE2TBR
3221,467,[u'English'],AIDXAWCTE2TBR
3222,473,[u'Similarities to other real words.'],AIDXAWCTE2TBR
3255,467,[u'English'],AKH2U6XGSGLJ9
3256,469,[u'English'],AKH2U6XGSGLJ9
3257,473,[u'If it had similarities to words I know'],AKH2U6XGSGLJ9
3258,471,[u'USA'],AKH2U6XGSGLJ9
3291,471,"[u'Milwaukee, WI']",AKM7BAAH9OPGW
3292,469,[u'English'],AKM7BAAH9OPGW
3293,467,[u'English'],AKM7BAAH9OPGW
3296,473,"[u'I just went with my gut, with which one sounded less rediculous']",AKM7BAAH9OPGW
3328,473,[u'i just went with my gut feeling'],AKO4O0L9613K5
3330,471,[u'USA'],AKO4O0L9613K5
3331,469,[u'english'],AKO4O0L9613K5
3332,467,[u'english'],AKO4O0L9613K5
3404,469,[u'English'],ANXJRYZDKHNDV
3405,467,[u'English'],ANXJRYZDKHNDV
3406,471,[u'United States'],ANXJRYZDKHNDV
3407,473,[u'I chose words based on the groupings of letters. specifically consonants. I also chose words that I thought sounded english.'],ANXJRYZDKHNDV
3440,473,[u'i just picked the one that sounded right'],ANZKTE853UXSD
3441,471,[u'USA'],ANZKTE853UXSD
3442,467,[u'english'],ANZKTE853UXSD
3444,469,[u'english'],ANZKTE853UXSD
3476,471,[u'United States'],AO3XB5I5QNNUI
3479,469,[u'English'],AO3XB5I5QNNUI
3480,467,[u'English'],AO3XB5I5QNNUI
3481,473,[u'if they sounded like American words'],AO3XB5I5QNNUI
3514,467,[u'English'],AR8WU7O3D5PDK
3516,471,[u'Ohio'],AR8WU7O3D5PDK
3517,469,[u'English'],AR8WU7O3D5PDK
3518,473,[u'Just guessed what sounded closest to English.'],AR8WU7O3D5PDK
3587,467,[u'English'],AS4WHZ0EVURW
3589,471,[u'US'],AS4WHZ0EVURW
3591,473,[u'spelling / what sounded natural'],AS4WHZ0EVURW
3592,469,[u'English'],AS4WHZ0EVURW
3624,467,[u'English'],ASUQKMIMH875T
3625,469,[u'English'],ASUQKMIMH875T
3626,473,[u'Saying the words out loud.'],ASUQKMIMH875T
3628,471,[u'United States'],ASUQKMIMH875T
3661,467,[u'English'],AURYD2FH3FUOQ
3662,471,[u'Midwest'],AURYD2FH3FUOQ
3664,473,[u'I said them silently to myself'],AURYD2FH3FUOQ
3665,469,[u'English'],AURYD2FH3FUOQ
3698,467,[u'English'],AUZCG3IKNCNO
3699,471,[u'Northern States'],AUZCG3IKNCNO
3700,473,[u'I chose the word that sounded correct and did not have excess letters.'],AUZCG3IKNCNO
3701,469,[u'English'],AUZCG3IKNCNO
3735,471,[u'California'],AVTGI51AT4R3C
3737,473,"[u'Ease/familiarity as native english speaker, absence of exotic consonant groups,  similarity to english words']",AVTGI51AT4R3C
3739,469,[u'English'],AVTGI51AT4R3C
3740,467,[u'English'],AVTGI51AT4R3C
3773,473,[u'I avoided voting for unusual consonant combinations and sometimes simply went with what was easier to pronounce '],AX0KHOWMMM6Z2
3775,469,[u'English'],AX0KHOWMMM6Z2
3776,467,[u'English'],AX0KHOWMMM6Z2
3777,471,[u'The U.S.'],AX0KHOWMMM6Z2
3809,473,[u'they way they sounded out loud after pronouncing them.'],AYC97GMI4V7Y4
3811,467,[u'english'],AYC97GMI4V7Y4
3812,469,[u'english'],AYC97GMI4V7Y4
3814,471,[u'southeast of the united states of america'],AYC97GMI4V7Y4
3846,473,[u'I said the words out loud and picked the ones that sounded similar to an english word.'],AZIY6IFOS4CVC
3847,467,[u'English'],AZIY6IFOS4CVC
3850,471,[u'America'],AZIY6IFOS4CVC
3851,469,[u'English'],AZIY6IFOS4CVC
