,Alternates,BlockIDs,Condition,Correct,EndTime,ExperimentVersion,HIT,Iteration,Number,OptionOrder,OptionResources,OptionTexts,PageID,PageResources,PageText,PageType,Permutation,Segment,SelectedID,SelectedPosition,SelectedText,StartTime,TrialNumber,UniqueID,Version,Violates,Wordbank,WorkerID,ReactionTime
14,,"[u'485', u'483']",nasal,[True],1427999427211,1.0,3JU8CV4BRLCHLQQ5W5Z1N3K6SNHOPS,1,"[u'plural', u'plural']","[u'280', u'281']","[[], []]","[u'fangumfa', u'buspamfa']",283,[u'static/images/stim/dragonfly-pl.png'],Which word is represented by this picture?,Lexical,1,,[u'280'],[0],[u'fangumfa'],1427999424369,14,A130UW3VJCW7A0:35H6S234SA0PQU0C2W9VXHPHUZR65D,0,,"[u'words2', u'words2']",A130UW3VJCW7A0,2842
15,,"[u'485', u'483']",,,1427999428045,1.0,3JU8CV4BRLCHLQQ5W5Z1N3K6SNHOPS,1,,,,,282,[u'static/images/stim/dragonfly-pl.png'],fangumfa means:,,1,,,,,1427999427226,15,A130UW3VJCW7A0:35H6S234SA0PQU0C2W9VXHPHUZR65D,0,,,A130UW3VJCW7A0,819
16,,"[u'485', u'483']",plural,[False],1427999431949,1.0,3JU8CV4BRLCHLQQ5W5Z1N3K6SNHOPS,1,"[u'plural', u'plural']","[u'373', u'372']","[[], []]","[u'bangupfa', u'ditfapfa']",375,[u'static/images/stim/mushroom-pl.png'],Which word is represented by this picture?,Lexical,1,,[u'373'],[0],[u'bangupfa'],1427999428068,16,A130UW3VJCW7A0:35H6S234SA0PQU0C2W9VXHPHUZR65D,0,,"[u'plural_words', u'plural_words']",A130UW3VJCW7A0,3881
17,,"[u'485', u'483']",,,1427999433254,1.0,3JU8CV4BRLCHLQQ5W5Z1N3K6SNHOPS,1,,,,,374,[u'static/images/stim/mushroom-pl.png'],ditfapfa means:,,1,,,,,1427999431960,17,A130UW3VJCW7A0:35H6S234SA0PQU0C2W9VXHPHUZR65D,0,,,A130UW3VJCW7A0,1294
18,,"[u'485', u'483']",both,[True],1427999437451,1.0,3JU8CV4BRLCHLQQ5W5Z1N3K6SNHOPS,1,"[u'singular', u'singular']","[u'405', u'404']","[[], []]","[u'teldus', u'nimol']",407,[u'static/images/stim/hourglass.png'],Which word is represented by this picture?,Lexical,1,,[u'404'],[1],[u'nimol'],1427999433278,18,A130UW3VJCW7A0:35H6S234SA0PQU0C2W9VXHPHUZR65D,0,,"[u'common_words', u'common_words']",A130UW3VJCW7A0,4173
19,,"[u'485', u'483']",,,1427999438160,1.0,3JU8CV4BRLCHLQQ5W5Z1N3K6SNHOPS,1,,,,,406,[u'static/images/stim/hourglass.png'],nimol means:,,1,,,,,1427999437465,19,A130UW3VJCW7A0:35H6S234SA0PQU0C2W9VXHPHUZR65D,0,,,A130UW3VJCW7A0,695
20,,"[u'485', u'483']",nasal,[True],1427999440990,1.0,3JU8CV4BRLCHLQQ5W5Z1N3K6SNHOPS,1,"[u'plural', u'singular']","[u'320', u'321']","[[], []]","[u'fangumfa', u'fangun']",323,[u'static/images/stim/dragonfly-pl.png'],Which word is represented by this picture?,Number,1,,[u'320'],[0],[u'fangumfa'],1427999438178,20,A130UW3VJCW7A0:35H6S234SA0PQU0C2W9VXHPHUZR65D,0,,"[u'words2', u'words2']",A130UW3VJCW7A0,2812
21,,"[u'485', u'483']",,,1427999441791,1.0,3JU8CV4BRLCHLQQ5W5Z1N3K6SNHOPS,1,,,,,322,[u'static/images/stim/dragonfly-pl.png'],fangumfa means: ,,1,,,,,1427999441001,21,A130UW3VJCW7A0:35H6S234SA0PQU0C2W9VXHPHUZR65D,0,,,A130UW3VJCW7A0,790
22,,"[u'485', u'483']",nasal,[True],1427999444909,1.0,3JU8CV4BRLCHLQQ5W5Z1N3K6SNHOPS,1,"[u'singular', u'singular']","[u'204', u'205']","[[], []]","[u'pitang', u'sumen']",207,[u'static/images/stim/xylophone.png'],Which word is represented by this picture?,Lexical,1,,[u'204'],[0],[u'pitang'],1427999441813,22,A130UW3VJCW7A0:35H6S234SA0PQU0C2W9VXHPHUZR65D,0,,"[u'words2', u'words2']",A130UW3VJCW7A0,3096
23,,"[u'485', u'483']",,,1427999445567,1.0,3JU8CV4BRLCHLQQ5W5Z1N3K6SNHOPS,1,,,,,206,[u'static/images/stim/xylophone.png'],pitang means:,,1,,,,,1427999444921,23,A130UW3VJCW7A0:35H6S234SA0PQU0C2W9VXHPHUZR65D,0,,,A130UW3VJCW7A0,646
24,,"[u'485', u'483']",voice,[True],1427999449243,1.0,3JU8CV4BRLCHLQQ5W5Z1N3K6SNHOPS,1,"[u'singular', u'singular']","[u'8', u'9']","[[], []]","[u'dungib', u'poneb']",11,[u'static/images/stim/owl.png'],Which word is represented by this picture?,Lexical,1,,[u'8'],[0],[u'dungib'],1427999445588,24,A130UW3VJCW7A0:35H6S234SA0PQU0C2W9VXHPHUZR65D,0,,"[u'words1', u'words1']",A130UW3VJCW7A0,3655
25,,"[u'485', u'483']",,,1427999450051,1.0,3JU8CV4BRLCHLQQ5W5Z1N3K6SNHOPS,1,,,,,10,[u'static/images/stim/owl.png'],dungib means:,,1,,,,,1427999449256,25,A130UW3VJCW7A0:35H6S234SA0PQU0C2W9VXHPHUZR65D,0,,,A130UW3VJCW7A0,795
26,,"[u'485', u'483']",nasal,[False],1427999452515,1.0,3JU8CV4BRLCHLQQ5W5Z1N3K6SNHOPS,1,"[u'plural', u'singular']","[u'324', u'325']","[[], []]","[u'pitamfa', u'pitang']",327,[u'static/images/stim/xylophone-pl.png'],Which word is represented by this picture?,Number,1,,[u'325'],[1],[u'pitang'],1427999450071,26,A130UW3VJCW7A0:35H6S234SA0PQU0C2W9VXHPHUZR65D,0,,"[u'words2', u'words2']",A130UW3VJCW7A0,2444
27,,"[u'485', u'483']",,,1427999453371,1.0,3JU8CV4BRLCHLQQ5W5Z1N3K6SNHOPS,1,,,,,326,[u'static/images/stim/xylophone-pl.png'],pitamfa means: ,,1,,,,,1427999452525,27,A130UW3VJCW7A0:35H6S234SA0PQU0C2W9VXHPHUZR65D,0,,,A130UW3VJCW7A0,846
28,,"[u'485', u'483']",nasal,[False],1427999456356,1.0,3JU8CV4BRLCHLQQ5W5Z1N3K6SNHOPS,1,"[u'singular', u'plural']","[u'333', u'332']","[[], []]","[u'buspang', u'buspamfa']",335,[u'static/images/stim/iron-pl.png'],Which word is represented by this picture?,Number,1,,[u'333'],[0],[u'buspang'],1427999453403,28,A130UW3VJCW7A0:35H6S234SA0PQU0C2W9VXHPHUZR65D,0,,"[u'words2', u'words2']",A130UW3VJCW7A0,2953
29,,"[u'485', u'483']",,,1427999457073,1.0,3JU8CV4BRLCHLQQ5W5Z1N3K6SNHOPS,1,,,,,334,[u'static/images/stim/iron-pl.png'],buspamfa means: ,,1,,,,,1427999456363,29,A130UW3VJCW7A0:35H6S234SA0PQU0C2W9VXHPHUZR65D,0,,,A130UW3VJCW7A0,710
30,,"[u'485', u'483']",both,[False],1427999460572,1.0,3JU8CV4BRLCHLQQ5W5Z1N3K6SNHOPS,1,"[u'singular', u'singular']","[u'401', u'400']","[[], []]","[u'teldus', u'pufsit']",403,[u'static/images/stim/flower2.png'],Which word is represented by this picture?,Lexical,1,,[u'401'],[0],[u'teldus'],1427999457097,30,A130UW3VJCW7A0:35H6S234SA0PQU0C2W9VXHPHUZR65D,0,,"[u'common_words', u'common_words']",A130UW3VJCW7A0,3475
31,,"[u'485', u'483']",,,1427999461331,1.0,3JU8CV4BRLCHLQQ5W5Z1N3K6SNHOPS,1,,,,,402,[u'static/images/stim/flower2.png'],pufsit means:,,1,,,,,1427999460587,31,A130UW3VJCW7A0:35H6S234SA0PQU0C2W9VXHPHUZR65D,0,,,A130UW3VJCW7A0,744
32,,"[u'485', u'483']",plural,[False],1427999464517,1.0,3JU8CV4BRLCHLQQ5W5Z1N3K6SNHOPS,1,"[u'plural', u'plural']","[u'368', u'369']","[[], []]","[u'poditfa', u'lotapfa']",371,[u'static/images/stim/ostrich-pl.png'],Which word is represented by this picture?,Lexical,1,,[u'369'],[1],[u'lotapfa'],1427999461353,32,A130UW3VJCW7A0:35H6S234SA0PQU0C2W9VXHPHUZR65D,0,,"[u'plural_words', u'plural_words']",A130UW3VJCW7A0,3164
33,,"[u'485', u'483']",,,1427999465299,1.0,3JU8CV4BRLCHLQQ5W5Z1N3K6SNHOPS,1,,,,,370,[u'static/images/stim/ostrich-pl.png'],poditfa means:,,1,,,,,1427999464525,33,A130UW3VJCW7A0:35H6S234SA0PQU0C2W9VXHPHUZR65D,0,,,A130UW3VJCW7A0,774
34,,"[u'485', u'483']",nasal,[True],1427999467679,1.0,3JU8CV4BRLCHLQQ5W5Z1N3K6SNHOPS,1,"[u'singular', u'singular']","[u'216', u'217']","[[], []]","[u'mepfing', u'demding']",219,[u'static/images/stim/goose.png'],Which word is represented by this picture?,Lexical,1,,[u'216'],[0],[u'mepfing'],1427999465309,34,A130UW3VJCW7A0:35H6S234SA0PQU0C2W9VXHPHUZR65D,0,,"[u'words2', u'words2']",A130UW3VJCW7A0,2370
35,,"[u'485', u'483']",,,1427999477077,1.0,3JU8CV4BRLCHLQQ5W5Z1N3K6SNHOPS,1,,,,,218,[u'static/images/stim/goose.png'],mepfing means:,,1,,,,,1427999467698,35,A130UW3VJCW7A0:35H6S234SA0PQU0C2W9VXHPHUZR65D,0,,,A130UW3VJCW7A0,9379
36,,"[u'485', u'483']",nasal,[True],1427999481022,1.0,3JU8CV4BRLCHLQQ5W5Z1N3K6SNHOPS,1,"[u'plural', u'plural']","[u'289', u'288']","[[], []]","[u'nangumfa', u'tinemfa']",291,[u'static/images/stim/kangaroo-pl.png'],Which word is represented by this picture?,Lexical,1,,[u'288'],[1],[u'tinemfa'],1427999477119,36,A130UW3VJCW7A0:35H6S234SA0PQU0C2W9VXHPHUZR65D,0,,"[u'words2', u'words2']",A130UW3VJCW7A0,3903
37,,"[u'485', u'483']",,,1427999482441,1.0,3JU8CV4BRLCHLQQ5W5Z1N3K6SNHOPS,1,,,,,290,[u'static/images/stim/kangaroo-pl.png'],tinemfa means:,,1,,,,,1427999481033,37,A130UW3VJCW7A0:35H6S234SA0PQU0C2W9VXHPHUZR65D,0,,,A130UW3VJCW7A0,1408
38,,"[u'485', u'483']",plural,[False],1427999489590,1.0,3JU8CV4BRLCHLQQ5W5Z1N3K6SNHOPS,1,"[u'plural', u'plural']","[u'377', u'376']","[[], []]","[u'siputfa', u'funepfa']",379,[u'static/images/stim/hornet-pl.png'],Which word is represented by this picture?,Lexical,1,,[u'377'],[0],[u'siputfa'],1427999482454,38,A130UW3VJCW7A0:35H6S234SA0PQU0C2W9VXHPHUZR65D,0,,"[u'plural_words', u'plural_words']",A130UW3VJCW7A0,7136
39,,"[u'485', u'483']",,,1427999490293,1.0,3JU8CV4BRLCHLQQ5W5Z1N3K6SNHOPS,1,,,,,378,[u'static/images/stim/hornet-pl.png'],funepfa means:,,1,,,,,1427999489597,39,A130UW3VJCW7A0:35H6S234SA0PQU0C2W9VXHPHUZR65D,0,,,A130UW3VJCW7A0,696
40,,"[u'485', u'483']",nasal,[True],1427999492433,1.0,3JU8CV4BRLCHLQQ5W5Z1N3K6SNHOPS,1,"[u'plural', u'plural']","[u'292', u'293']","[[], []]","[u'buspamfa', u'pitamfa']",295,[u'static/images/stim/iron-pl.png'],Which word is represented by this picture?,Lexical,1,,[u'292'],[0],[u'buspamfa'],1427999490300,40,A130UW3VJCW7A0:35H6S234SA0PQU0C2W9VXHPHUZR65D,0,,"[u'words2', u'words2']",A130UW3VJCW7A0,2133
41,,"[u'485', u'483']",,,1427999492931,1.0,3JU8CV4BRLCHLQQ5W5Z1N3K6SNHOPS,1,,,,,294,[u'static/images/stim/iron-pl.png'],buspamfa means:,,1,,,,,1427999492440,41,A130UW3VJCW7A0:35H6S234SA0PQU0C2W9VXHPHUZR65D,0,,,A130UW3VJCW7A0,491
42,,"[u'485', u'483']",nasal,[True],1427999495650,1.0,3JU8CV4BRLCHLQQ5W5Z1N3K6SNHOPS,1,"[u'singular', u'singular']","[u'209', u'208']","[[], []]","[u'lobon', u'tinen']",211,[u'static/images/stim/kangaroo.png'],Which word is represented by this picture?,Lexical,1,,[u'208'],[1],[u'tinen'],1427999492948,42,A130UW3VJCW7A0:35H6S234SA0PQU0C2W9VXHPHUZR65D,0,,"[u'words2', u'words2']",A130UW3VJCW7A0,2702
43,,"[u'485', u'483']",,,1427999496142,1.0,3JU8CV4BRLCHLQQ5W5Z1N3K6SNHOPS,1,,,,,210,[u'static/images/stim/kangaroo.png'],tinen means:,,1,,,,,1427999495655,43,A130UW3VJCW7A0:35H6S234SA0PQU0C2W9VXHPHUZR65D,0,,,A130UW3VJCW7A0,487
44,,"[u'485', u'483']",nasal,[True],1427999498227,1.0,3JU8CV4BRLCHLQQ5W5Z1N3K6SNHOPS,1,"[u'singular', u'singular']","[u'212', u'213']","[[], []]","[u'buspang', u'lobon']",215,[u'static/images/stim/iron.png'],Which word is represented by this picture?,Lexical,1,,[u'212'],[0],[u'buspang'],1427999496147,44,A130UW3VJCW7A0:35H6S234SA0PQU0C2W9VXHPHUZR65D,0,,"[u'words2', u'words2']",A130UW3VJCW7A0,2080
45,,"[u'485', u'483']",,,1427999498725,1.0,3JU8CV4BRLCHLQQ5W5Z1N3K6SNHOPS,1,,,,,214,[u'static/images/stim/iron.png'],buspang means:,,1,,,,,1427999498234,45,A130UW3VJCW7A0:35H6S234SA0PQU0C2W9VXHPHUZR65D,0,,,A130UW3VJCW7A0,491
46,,"[u'485', u'483']",voice,[True],1427999500713,1.0,3JU8CV4BRLCHLQQ5W5Z1N3K6SNHOPS,1,"[u'singular', u'singular']","[u'4', u'5']","[[], []]","[u'fetab', u'sangod']",7,[u'static/images/stim/rhino.png'],Which word is represented by this picture?,Lexical,1,,[u'4'],[0],[u'fetab'],1427999498742,46,A130UW3VJCW7A0:35H6S234SA0PQU0C2W9VXHPHUZR65D,0,,"[u'words1', u'words1']",A130UW3VJCW7A0,1971
47,,"[u'485', u'483']",,,1427999501166,1.0,3JU8CV4BRLCHLQQ5W5Z1N3K6SNHOPS,1,,,,,6,[u'static/images/stim/rhino.png'],fetab means:,,1,,,,,1427999500717,47,A130UW3VJCW7A0:35H6S234SA0PQU0C2W9VXHPHUZR65D,0,,,A130UW3VJCW7A0,449
48,,"[u'485', u'483']",nasal,[True],1427999503652,1.0,3JU8CV4BRLCHLQQ5W5Z1N3K6SNHOPS,1,"[u'singular', u'plural']","[u'329', u'328']","[[], []]","[u'tinen', u'tinemfa']",331,[u'static/images/stim/kangaroo-pl.png'],Which word is represented by this picture?,Number,1,,[u'328'],[1],[u'tinemfa'],1427999501181,48,A130UW3VJCW7A0:35H6S234SA0PQU0C2W9VXHPHUZR65D,0,,"[u'words2', u'words2']",A130UW3VJCW7A0,2471
49,,"[u'485', u'483']",,,1427999504157,1.0,3JU8CV4BRLCHLQQ5W5Z1N3K6SNHOPS,1,,,,,330,[u'static/images/stim/kangaroo-pl.png'],tinemfa means: ,,1,,,,,1427999503659,49,A130UW3VJCW7A0:35H6S234SA0PQU0C2W9VXHPHUZR65D,0,,,A130UW3VJCW7A0,498
50,,"[u'485', u'483']",voice,[False],1427999507019,1.0,3JU8CV4BRLCHLQQ5W5Z1N3K6SNHOPS,1,"[u'singular', u'singular']","[u'13', u'12']","[[], []]","[u'dungib', u'bupfud']",15,[u'static/images/stim/tomato.png'],Which word is represented by this picture?,Lexical,1,,[u'13'],[0],[u'dungib'],1427999504170,50,A130UW3VJCW7A0:35H6S234SA0PQU0C2W9VXHPHUZR65D,0,,"[u'words1', u'words1']",A130UW3VJCW7A0,2849
51,,"[u'485', u'483']",,,1427999507510,1.0,3JU8CV4BRLCHLQQ5W5Z1N3K6SNHOPS,1,,,,,14,[u'static/images/stim/tomato.png'],bupfud means:,,1,,,,,1427999507034,51,A130UW3VJCW7A0:35H6S234SA0PQU0C2W9VXHPHUZR65D,0,,,A130UW3VJCW7A0,476
52,,"[u'485', u'483']",nasal,[False],1427999510331,1.0,3JU8CV4BRLCHLQQ5W5Z1N3K6SNHOPS,1,"[u'singular', u'plural']","[u'244', u'245']","[[], []]","[u'pitang', u'pitamfa']",247,[u'static/images/stim/xylophone.png'],Which word is represented by this picture?,Number,1,,[u'245'],[1],[u'pitamfa'],1427999507529,52,A130UW3VJCW7A0:35H6S234SA0PQU0C2W9VXHPHUZR65D,0,,"[u'words2', u'words2']",A130UW3VJCW7A0,2802
53,,"[u'485', u'483']",,,1427999510920,1.0,3JU8CV4BRLCHLQQ5W5Z1N3K6SNHOPS,1,,,,,246,[u'static/images/stim/xylophone.png'],pitang means: ,,1,,,,,1427999510339,53,A130UW3VJCW7A0:35H6S234SA0PQU0C2W9VXHPHUZR65D,0,,,A130UW3VJCW7A0,581
54,,"[u'485', u'483']",nasal,[True],1427999513956,1.0,3JU8CV4BRLCHLQQ5W5Z1N3K6SNHOPS,1,"[u'plural', u'plural']","[u'296', u'297']","[[], []]","[u'mepfimfa', u'pitamfa']",299,[u'static/images/stim/goose-pl.png'],Which word is represented by this picture?,Lexical,1,,[u'296'],[0],[u'mepfimfa'],1427999510949,54,A130UW3VJCW7A0:35H6S234SA0PQU0C2W9VXHPHUZR65D,0,,"[u'words2', u'words2']",A130UW3VJCW7A0,3007
55,,"[u'485', u'483']",,,1427999514551,1.0,3JU8CV4BRLCHLQQ5W5Z1N3K6SNHOPS,1,,,,,298,[u'static/images/stim/goose-pl.png'],mepfimfa means:,,1,,,,,1427999513969,55,A130UW3VJCW7A0:35H6S234SA0PQU0C2W9VXHPHUZR65D,0,,,A130UW3VJCW7A0,582
56,,"[u'485', u'483']",nasal,[False],1427999517425,1.0,3JU8CV4BRLCHLQQ5W5Z1N3K6SNHOPS,1,"[u'singular', u'plural']","[u'252', u'253']","[[], []]","[u'buspang', u'buspamfa']",255,[u'static/images/stim/iron.png'],Which word is represented by this picture?,Number,1,,[u'253'],[1],[u'buspamfa'],1427999514570,56,A130UW3VJCW7A0:35H6S234SA0PQU0C2W9VXHPHUZR65D,0,,"[u'words2', u'words2']",A130UW3VJCW7A0,2855
57,,"[u'485', u'483']",,,1427999518081,1.0,3JU8CV4BRLCHLQQ5W5Z1N3K6SNHOPS,1,,,,,254,[u'static/images/stim/iron.png'],buspang means: ,,1,,,,,1427999517435,57,A130UW3VJCW7A0:35H6S234SA0PQU0C2W9VXHPHUZR65D,0,,,A130UW3VJCW7A0,646
58,,"[u'485', u'483']",nasal,[True],1427999519643,1.0,3JU8CV4BRLCHLQQ5W5Z1N3K6SNHOPS,1,"[u'plural', u'singular']","[u'249', u'248']","[[], []]","[u'tinemfa', u'tinen']",251,[u'static/images/stim/kangaroo.png'],Which word is represented by this picture?,Number,1,,[u'248'],[1],[u'tinen'],1427999518091,58,A130UW3VJCW7A0:35H6S234SA0PQU0C2W9VXHPHUZR65D,0,,"[u'words2', u'words2']",A130UW3VJCW7A0,1552
59,,"[u'485', u'483']",,,1427999520081,1.0,3JU8CV4BRLCHLQQ5W5Z1N3K6SNHOPS,1,,,,,250,[u'static/images/stim/kangaroo.png'],tinen means: ,,1,,,,,1427999519650,59,A130UW3VJCW7A0:35H6S234SA0PQU0C2W9VXHPHUZR65D,0,,,A130UW3VJCW7A0,431
60,,"[u'485', u'483']",plural,[False],1427999522575,1.0,3JU8CV4BRLCHLQQ5W5Z1N3K6SNHOPS,1,"[u'plural', u'plural']","[u'361', u'360']","[[], []]","[u'nangipfa', u'semotfa']",363,[u'static/images/stim/deer-pl.png'],Which word is represented by this picture?,Lexical,1,,[u'361'],[0],[u'nangipfa'],1427999520111,60,A130UW3VJCW7A0:35H6S234SA0PQU0C2W9VXHPHUZR65D,0,,"[u'plural_words', u'plural_words']",A130UW3VJCW7A0,2464
61,,"[u'485', u'483']",,,1427999523354,1.0,3JU8CV4BRLCHLQQ5W5Z1N3K6SNHOPS,1,,,,,362,[u'static/images/stim/deer-pl.png'],semotfa means:,,1,,,,,1427999522588,61,A130UW3VJCW7A0:35H6S234SA0PQU0C2W9VXHPHUZR65D,0,,,A130UW3VJCW7A0,766
62,,"[u'485', u'483']",nasal,[True],1427999526090,1.0,3JU8CV4BRLCHLQQ5W5Z1N3K6SNHOPS,1,"[u'singular', u'plural']","[u'337', u'336']","[[], []]","[u'mepfing', u'mepfimfa']",339,[u'static/images/stim/goose-pl.png'],Which word is represented by this picture?,Number,1,,[u'336'],[1],[u'mepfimfa'],1427999523371,62,A130UW3VJCW7A0:35H6S234SA0PQU0C2W9VXHPHUZR65D,0,,"[u'words2', u'words2']",A130UW3VJCW7A0,2719
63,,"[u'485', u'483']",,,1427999526770,1.0,3JU8CV4BRLCHLQQ5W5Z1N3K6SNHOPS,1,,,,,338,[u'static/images/stim/goose-pl.png'],mepfimfa means: ,,1,,,,,1427999526103,63,A130UW3VJCW7A0:35H6S234SA0PQU0C2W9VXHPHUZR65D,0,,,A130UW3VJCW7A0,667
64,,"[u'485', u'483']",nasal,[True],1427999529483,1.0,3JU8CV4BRLCHLQQ5W5Z1N3K6SNHOPS,1,"[u'singular', u'singular']","[u'200', u'201']","[[], []]","[u'fangun', u'lobon']",203,[u'static/images/stim/dragonfly.png'],Which word is represented by this picture?,Lexical,1,,[u'200'],[0],[u'fangun'],1427999526788,64,A130UW3VJCW7A0:35H6S234SA0PQU0C2W9VXHPHUZR65D,0,,"[u'words2', u'words2']",A130UW3VJCW7A0,2695
